City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Erenhot,CN,2021-09-15 02:12:16,43.6475,111.9767,64.67,71,100,17.63,moderate rain
122,Porosozero,RU,2021-09-15 02:12:16,62.7191,32.727,42.01,85,100,10.29,overcast clouds
123,Asfi,MA,2021-09-15 02:12:17,32.2994,-9.2372,69.21,92,0,10.11,clear sky
124,Padang,ID,2021-09-15 02:12:17,-0.9492,100.3543,83.44,67,92,1.5,overcast clouds
125,Chokurdakh,RU,2021-09-15 02:12:17,70.6333,147.9167,37.8,79,100,9.69,overcast clouds
126,Carnarvon,AU,2021-09-15 02:12:18,-24.8667,113.6333,68.07,56,90,6.91,overcast clouds
127,Rafsanjan,IR,2021-09-15 02:12:18,30.4067,55.9939,69.94,11,0,2.68,clear sky
128,Barrow,US,2021-09-15 02:12:18,71.2906,-156.7887,39.22,87,75,9.22,broken clouds
129,Roald,NO,2021-09-15 02:12:18,62.5833,6.1333,48.09,93,42,0.0,scattered clouds
130,Gannan,CN,2021-09-15 02:12:19,47.9147,123.5031,60.39,78,100,5.84,overcast clouds
131,George,ZA,2021-09-15 02:12:19,-33.963,22.4617,52.21,85,62,8.77,light rain
132,Ishigaki,JP,2021-09-15 02:12:19,24.3448,124.1572,77.13,94,75,10.36,heavy intensity rain
133,Hithadhoo,MV,2021-09-15 02:12:20,-0.6,73.0833,83.68,72,17,11.59,few clouds
134,Dabhol,IN,2021-09-15 02:12:20,17.6,73.1667,78.06,88,100,6.64,overcast clouds
135,Asau,RO,2021-09-15 02:12:20,46.4333,26.4,55.96,96,4,2.95,clear sky
136,Cidreira,BR,2021-09-15 02:12:20,-30.1811,-50.2056,60.58,87,100,15.39,overcast clouds
137,Mount Darwin,ZW,2021-09-15 02:12:21,-16.7725,31.5838,61.38,54,4,1.01,clear sky
138,Marshall,US,2021-09-15 02:12:21,34.3834,-86.3333,76.08,90,75,0.0,broken clouds
139,Kapaa,US,2021-09-15 02:12:21,22.0752,-159.319,87.78,68,75,4.0,light rain
140,Saldanha,ZA,2021-09-15 02:12:22,-33.0117,17.9442,55.24,61,56,15.86,broken clouds
141,Tiksi,RU,2021-09-15 02:12:22,71.6872,128.8694,39.69,94,100,9.13,light rain
142,Thompson,CA,2021-09-15 02:07:43,55.7435,-97.8558,49.96,60,71,3.76,broken clouds
143,Killybegs,IE,2021-09-15 02:12:22,54.6333,-8.45,58.44,94,100,3.0,overcast clouds
144,Norman Wells,CA,2021-09-15 02:12:23,65.282,-126.8329,50.04,81,75,5.75,light intensity shower rain
145,Acarau,BR,2021-09-15 02:12:23,-2.8856,-40.12,78.8,84,0,13.38,clear sky
146,Tupik,RU,2021-09-15 02:12:23,54.4253,119.9327,58.08,74,100,7.92,overcast clouds
147,Balabac,PH,2021-09-15 02:12:23,7.9868,117.0645,84.96,69,86,6.29,overcast clouds
148,Batagay,RU,2021-09-15 02:12:24,67.6333,134.6333,50.72,85,99,1.34,overcast clouds
149,Assiniboia,CA,2021-09-15 02:12:24,49.6334,-105.9845,63.03,36,44,4.27,scattered clouds
150,Nishihara,JP,2021-09-15 02:12:24,26.1842,127.7558,87.46,74,75,13.8,broken clouds
151,Hamilton,US,2021-09-15 02:08:39,39.1834,-84.5333,78.89,76,1,5.75,clear sky
152,Sao Filipe,CV,2021-09-15 02:12:25,14.8961,-24.4956,79.41,85,99,5.99,overcast clouds
153,Nanga Eboko,CM,2021-09-15 02:12:25,4.6833,12.3667,67.26,100,100,1.34,light rain
154,Tacna,PE,2021-09-15 02:12:25,-18.0056,-70.2483,52.7,91,51,1.77,broken clouds
155,Longyearbyen,SJ,2021-09-15 02:12:25,78.2186,15.6401,33.64,86,75,6.91,broken clouds
