City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Hithadhoo,MV,83.68,few clouds,-0.6,73.0833,Scoop Guest House
134,Dabhol,IN,78.06,overcast clouds,17.6,73.1667,Ashwamedh Resort
138,Marshall,US,76.08,broken clouds,34.3834,-86.3333,Riverview Campground
139,Kapaa,US,87.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Acarau,BR,78.8,clear sky,-2.8856,-40.12,castelo pizzaria
147,Balabac,PH,84.96,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
150,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
151,Hamilton,US,78.89,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
152,Sao Filipe,CV,79.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
156,Cumberland,US,81.48,clear sky,35.0502,-78.8664,American Eagle Inn
165,Samarai,PG,79.93,broken clouds,-10.6167,150.6667,Nuli Sapi
172,Kilindoni,TZ,76.53,scattered clouds,-7.9139,39.6668,Bustani B&B
174,Monroe,US,78.4,broken clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
179,Road Town,VG,83.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
180,Sinnamary,GF,78.46,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
184,Victoria,HK,89.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
186,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
191,Nchelenge,ZM,78.42,overcast clouds,-9.3451,28.734,KD Travellers Home
194,Ugoofaaru,MV,83.55,overcast clouds,5.6667,73.0,Ungoofaaru Inn
195,Hami,CN,76.46,clear sky,42.8,93.45,Laoyutang Resort
197,Trincomalee,LK,83.01,overcast clouds,8.5711,81.2335,Welcombe Hotel
203,Sabha,LY,75.09,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
204,Urucui,BR,84.25,scattered clouds,-7.2294,-44.5561,Hotel Premium Piauí
208,Sabang,ID,82.15,overcast clouds,5.8933,95.3214,Hotel Citra
209,Correntina,BR,77.7,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
211,Pemangkat,ID,77.41,overcast clouds,1.1667,108.9667,Ramah Kost KITA
212,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
215,Lorengau,PG,83.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,Faanui,PF,79.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
221,Vanimo,PG,86.22,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
225,Guane,CU,77.99,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
227,Katsina,NG,75.06,light rain,12.9894,7.6006,Katsina Motel
231,Sur,OM,85.57,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
235,Tukrah,LY,76.28,clear sky,32.5341,20.5791,Lagrota restaurant
236,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
239,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
243,Mitsamiouli,KM,76.55,overcast clouds,-11.3847,43.2844,Foyer ADM
244,Balkanabat,TM,75.2,clear sky,39.5108,54.3671,Nebitchi Hotel
246,Saint-Georges,GD,81.68,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
247,Linguere,SN,81.81,clear sky,15.3953,-15.1193,AYO Casablanca
