City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Inirida,CO,2021-09-09 04:31:35,3.8653,-67.9239,73.26,94,100,2.75
176,Colares,PT,2021-09-09 04:31:35,38.7992,-9.4469,70.29,79,12,7.85
177,Gorontalo,ID,2021-09-09 04:31:36,0.5412,123.0595,80.46,88,100,5.01
178,Yulara,AU,2021-09-09 04:31:36,-25.2406,130.9889,80.44,8,3,3.44
179,Pitea,SE,2021-09-09 04:31:36,65.3172,21.4794,50.09,70,4,4.14
180,Whitehorse,CA,2021-09-09 04:31:36,60.7161,-135.0538,54.37,76,75,4.61
181,Lompoc,US,2021-09-09 04:28:41,34.6391,-120.4579,71.1,95,90,6.91
182,Te Anau,NZ,2021-09-09 04:31:37,-45.4167,167.7167,48.83,88,100,12.8
183,Nikolskoye,RU,2021-09-09 04:31:37,59.7035,30.7861,58.89,88,87,9.19
184,Mildura,AU,2021-09-09 04:31:37,-34.2,142.15,82.36,10,47,13.8
185,Bay Roberts,CA,2021-09-09 04:31:38,47.5999,-53.2648,59.65,92,4,1.01
186,Loa Janan,ID,2021-09-09 04:31:38,-0.583,117.095,80.1,86,100,1.52
187,Flinders,AU,2021-09-09 04:31:38,-34.5833,150.8552,81.21,40,57,11.65
188,Bregovo,BG,2021-09-09 04:31:39,44.1517,22.6425,54.79,52,95,3.67
189,Odweyne,SO,2021-09-09 04:28:09,9.4092,45.064,74.14,56,66,19.06
190,Bunia,CD,2021-09-09 04:31:39,1.5667,30.25,65.19,86,75,0.43
191,Cascas,PE,2021-09-09 04:31:39,-7.4833,-78.8167,68.43,63,58,0.98
192,Mallow,IE,2021-09-09 04:31:40,52.1333,-8.6333,62.51,99,100,2.3
193,Atkarsk,RU,2021-09-09 04:31:40,51.8718,45.0078,53.76,49,84,15.19
194,Bredasdorp,ZA,2021-09-09 04:31:40,-34.5322,20.0403,42.12,93,91,4.61
195,Booue,GA,2021-09-09 04:31:41,-0.0921,11.9385,70.59,95,84,1.79
196,Cervo,ES,2021-09-09 04:31:41,43.6702,-7.4101,68.97,82,98,8.39
197,Vilyuysk,RU,2021-09-09 04:31:41,63.7553,121.6247,65.89,51,27,3.85
198,Rincon,US,2021-09-09 04:31:41,32.296,-81.2354,76.96,98,90,6.91
199,Hirara,JP,2021-09-09 04:27:41,24.8,125.2833,91.67,66,40,10.36
200,Corralillo,CU,2021-09-09 04:31:42,22.9819,-80.5856,76.6,85,0,5.93
201,Sungaipenuh,ID,2021-09-09 04:31:42,-2.0833,101.3833,74.62,71,70,4.56
202,Faya,SA,2021-09-09 04:31:42,18.3851,42.4509,66.72,17,29,6.2
203,Mangan,IN,2021-09-09 04:31:43,27.5167,88.5333,81.73,71,99,4.0
204,Phan Thiet,VN,2021-09-09 04:31:43,10.9333,108.1,85.73,71,92,11.07
205,Cowra,AU,2021-09-09 04:31:43,-33.8333,148.6833,63.5,62,87,9.78
206,Talladega,US,2021-09-09 04:30:21,33.4359,-86.1058,75.47,100,1,0.0
207,Yeppoon,AU,2021-09-09 04:31:44,-23.1333,150.7333,76.78,62,42,15.41
208,Richards Bay,ZA,2021-09-09 04:31:44,-28.783,32.0377,60.28,83,0,3.76
209,Myanaung,MM,2021-09-09 04:31:44,18.2833,95.3167,86.95,67,99,5.77
210,Fuyu,CN,2021-09-09 04:31:45,45.1833,124.8167,62.26,86,100,5.95
211,Maragogi,BR,2021-09-09 04:31:45,-9.0122,-35.2225,74.19,81,58,6.29
212,Oktyabrskiy,RU,2021-09-09 04:31:45,54.4815,53.471,54.37,63,100,16.42
213,Krasnoselkup,RU,2021-09-09 04:31:46,65.7,82.4667,48.22,78,100,10.13
214,Le Port,RE,2021-09-09 04:31:46,-20.9373,55.2919,73.62,65,16,3.22
215,Mamontovo,RU,2021-09-09 04:31:46,52.7055,81.6244,58.33,34,41,16.55
216,Nyrob,RU,2021-09-09 04:31:46,60.733,56.7202,47.07,98,100,11.14
217,Souillac,MU,2021-09-09 04:31:47,-20.5167,57.5167,71.37,83,75,11.5
218,Guerrero Negro,MX,2021-09-09 04:31:47,27.9769,-114.0611,72.37,84,79,13.09
219,Kapuskasing,CA,2021-09-09 04:31:47,49.4169,-82.4331,53.69,94,90,5.75
220,Upernavik,GL,2021-09-09 04:31:48,72.7868,-56.1549,29.46,76,100,11.45
221,Conceicao Da Barra,BR,2021-09-09 04:31:48,-18.5933,-39.7322,67.59,95,26,4.29
222,Valer,NO,2021-09-09 04:31:48,60.6785,11.8331,55.89,97,35,1.59
223,Talara,PE,2021-09-09 04:31:48,-4.5772,-81.2719,64.69,82,96,18.32
224,Vila Do Maio,CV,2021-09-09 04:31:49,15.1333,-23.2167,77.79,78,23,6.24
225,Alice Springs,AU,2021-09-09 04:30:12,-23.7,133.8833,81.95,9,0,11.5
226,Bermejo,AR,2021-09-09 04:31:49,-32.8833,-68.8,48.11,76,0,3.44
227,East London,ZA,2021-09-09 04:31:50,-33.0153,27.9116,54.54,66,20,5.75
228,Tokur,RU,2021-09-09 04:31:50,53.1333,132.9,59.86,74,92,2.66
229,Roma,US,2021-09-09 04:31:50,43.2128,-75.4557,65.12,97,75,0.0
230,Preobrazheniye,RU,2021-09-09 04:31:50,42.9019,133.9064,72.39,61,0,8.59
231,Mahebourg,MU,2021-09-09 04:31:51,-20.4081,57.7,71.26,83,75,11.5
232,Menongue,AO,2021-09-09 04:28:48,-14.6585,17.691,60.33,30,43,3.8
233,Luang Prabang,LA,2021-09-09 04:31:51,19.8856,102.1347,80.56,78,90,2.3
234,Taoudenni,ML,2021-09-09 04:29:14,22.6783,-3.9836,96.4,12,0,17.56
235,Nelson Bay,AU,2021-09-09 04:29:11,-32.7167,152.15,82.29,30,61,7.4
236,Longkou,CN,2021-09-09 04:31:52,37.6508,120.3286,79.65,64,21,11.99
237,Opuwo,NA,2021-09-09 04:31:50,-18.0607,13.84,64.24,25,1,1.54
238,Westport,US,2021-09-09 04:29:12,41.1415,-73.3579,76.19,90,75,1.99
239,Sarakhs,IR,2021-09-09 04:31:52,36.5449,61.1577,75.34,41,0,18.41
240,Coquimbo,CL,2021-09-09 04:31:52,-29.9533,-71.3436,51.53,76,0,6.91
